Long,Lat
297549.9824,760050.0852
298650.0352,760650.0205
301350.0522,755249.9642
301349.917,757849.9788
308549.9779,750450.0384
303749.9999,753650.018
271550.053,766549.9216
272450.0131,756850.0332
272549.9466,768050.0261
272750.0283,763950.0064
273249.9873,758350.072
273450.0334,769849.9545
274149.9684,766249.9918
274249.973,756149.9323
274249.9789,756350.0209
274550.0191,757549.971
274849.9791,755849.9918
275249.9982,754249.9848
275450.0096,755050.0001
275749.966,756750.0063
276250.0057,764650.0205
276650.0202,756550.031
277150.0477,756849.97
277350.0254,752249.9676
277349.9487,767149.9795
277550.032,764549.9566
277649.9895,753450.0997
278649.9659,750450.0545
279549.9768,768450.0542
279749.9965,766849.9361
279849.9705,767849.9547
280749.9421,757550.0064
281149.9755,750950.0617
281550.0081,752149.9954
282049.9713,770550.086
282449.9755,750950.0603
282750.0161,757450.1108
282950.0083,764349.9865
283649.979,769249.9144
284749.9844,768850.0356
285149.9794,763450.1064
285150.0174,768449.9578
286650.0022,763249.9405
286850.0232,769450.0358
287750.0088,763150.04
287849.9836,758949.9286
288350.0508,754450.0004
288549.9796,761849.9766
289349.9793,755749.9884
289350.0386,762850.0311
290449.9543,769249.9907
291150.0084,766650.0521
291450.0066,757250.0185
292249.9549,765449.967
293449.9904,766449.9704
294549.9367,750249.979
294749.9466,760750.0562
298249.9627,759549.9797
298549.9976,759850.0742
298650.0352,760650.0205
271549.9272,762050.034
307849.9774,756349.9813
307050.0099,756249.9373
304950.0131,758949.9445
303749.9984,759350.0308
308549.9227,752150.0346
302749.9696,752749.9886
303050.0277,750449.9978
304649.9806,758049.979
303450.0224,755049.9967
309049.9665,751550.067
