x,y,species_0 logistic values
1.0,1.0,0.034847353
2.0,2.0,0.55940604
3.0,3.0,0.12580234
4.0,4.0,0.00601921
5.0,5.0,0.5854596
6.0,6.0,2.1458657E-4
7.0,7.0,0.0034224463
8.0,8.0,0.46793982
9.0,9.0,0.03872434
10.0,10.0,0.099545255
11.0,11.0,0.2508476
12.0,12.0,0.44758582
13.0,13.0,0.47058102
14.0,14.0,0.5243343
15.0,15.0,0.03594434
16.0,16.0,0.013387718
17.0,17.0,0.005828878
18.0,18.0,0.0031470116
19.0,19.0,0.39582723
20.0,20.0,3.6196178E-4
21.0,21.0,0.10914831
22.0,22.0,0.0038936716
23.0,23.0,0.0017540916
24.0,24.0,0.595383
25.0,25.0,0.008568186
26.0,26.0,0.42395386
27.0,27.0,0.020254692
28.0,28.0,0.0023953607
29.0,29.0,0.0013709554
30.0,30.0,9.207414E-4
31.0,31.0,0.026500035
32.0,32.0,0.035571754
33.0,33.0,4.368499E-8
34.0,34.0,0.65454197
35.0,35.0,0.24587815
36.0,36.0,5.609492E-4
37.0,37.0,0.57676065
38.0,38.0,0.14642158
39.0,39.0,0.34917676
40.0,40.0,0.034780692
41.0,41.0,0.07310899
42.0,42.0,0.04251691
43.0,43.0,0.13350426
44.0,44.0,0.0017766737
45.0,45.0,0.1746205
46.0,46.0,0.4306026
47.0,47.0,0.10357128
48.0,48.0,0.560831
49.0,49.0,0.06438758
50.0,50.0,0.002140446
51.0,51.0,0.0016195248
52.0,52.0,0.0016935493
53.0,53.0,0.090484366
54.0,54.0,0.59503424
55.0,55.0,0.46698794
56.0,56.0,0.5500442
57.0,57.0,0.59554625
58.0,58.0,0.03620687
59.0,59.0,0.015748499
60.0,60.0,0.44184026
61.0,61.0,0.6457553
62.0,62.0,0.5839371
63.0,63.0,0.18591787
64.0,64.0,0.11128505
65.0,65.0,0.028982352
66.0,66.0,0.0021501202
67.0,67.0,0.20471711
68.0,68.0,2.4281134E-4
69.0,69.0,0.059942484
70.0,70.0,0.5234579
71.0,71.0,0.055069253
72.0,72.0,0.58688885
73.0,73.0,0.031526137
74.0,74.0,5.8708706E-6
75.0,75.0,2.8610436E-4
76.0,76.0,0.43468875
77.0,77.0,0.5276721
78.0,78.0,0.25410333
79.0,79.0,0.0028753066
80.0,80.0,0.1614291
81.0,81.0,0.09733015
82.0,82.0,0.010047625
83.0,83.0,0.1759319
84.0,84.0,0.4661965
85.0,85.0,0.6315294
86.0,86.0,5.7935426E-6
87.0,87.0,0.62545866
88.0,88.0,0.6539462
89.0,89.0,0.6449595
90.0,90.0,0.2305446
91.0,91.0,0.66036105
92.0,92.0,0.016444761
93.0,93.0,2.451875E-4
94.0,94.0,0.014793625
95.0,95.0,0.5504049
96.0,96.0,0.63851625
97.0,97.0,0.0024449616
98.0,98.0,0.46286437
99.0,99.0,9.130658E-4
100.0,100.0,6.3204067E-4
101.0,101.0,6.3409016E-4
102.0,102.0,0.001658228
103.0,103.0,0.4106241
104.0,104.0,0.022853408
105.0,105.0,1.255728E-6
106.0,106.0,0.41665137
107.0,107.0,0.3549517
108.0,108.0,0.019972032
109.0,109.0,0.5844108
110.0,110.0,0.041007888
111.0,111.0,0.3455862
112.0,112.0,0.006822036
113.0,113.0,0.0033730082
114.0,114.0,0.455341
115.0,115.0,5.610309E-4
116.0,116.0,0.14904547
117.0,117.0,0.016433569
118.0,118.0,0.23007382
119.0,119.0,0.38784918
120.0,120.0,1.13970025E-4
121.0,121.0,0.5564794
122.0,122.0,1.9680967E-5
123.0,123.0,0.24904254
124.0,124.0,0.13284443
125.0,125.0,0.10834256
126.0,126.0,1.7483576E-4
127.0,127.0,0.37398884
128.0,128.0,0.42630136
129.0,129.0,0.018920299
130.0,130.0,0.10798043
131.0,131.0,0.27050495
132.0,132.0,0.5547402
133.0,133.0,0.08683156
134.0,134.0,0.116645336
135.0,135.0,0.035266493
136.0,136.0,0.03661795
137.0,137.0,0.003309848
138.0,138.0,0.0010419415
139.0,139.0,0.0043748184
140.0,140.0,0.028295076
141.0,141.0,0.5496079
142.0,142.0,0.14730857
143.0,143.0,0.07408411
144.0,144.0,0.053779215
145.0,145.0,0.0016796736
146.0,146.0,0.03217802
147.0,147.0,0.16732104
148.0,148.0,0.0066830744
149.0,149.0,0.03050934
150.0,150.0,0.030314535
151.0,151.0,0.0021336784
152.0,152.0,0.34449577
153.0,153.0,0.012028558
154.0,154.0,0.0080268225
155.0,155.0,0.026537247
156.0,156.0,0.12068539
157.0,157.0,7.7696845E-5
158.0,158.0,0.30945563
159.0,159.0,0.091411985
160.0,160.0,0.37414142
161.0,161.0,2.6366556E-10
162.0,162.0,0.5191576
163.0,163.0,0.006883189
164.0,164.0,0.0032638158
165.0,165.0,0.0035177493
166.0,166.0,8.576057E-4
167.0,167.0,0.012531326
168.0,168.0,0.1098676
169.0,169.0,0.04140602
170.0,170.0,0.017053977
171.0,171.0,0.094191544
172.0,172.0,0.23415269
173.0,173.0,0.19698878
174.0,174.0,0.64900255
175.0,175.0,0.15036723
176.0,176.0,0.22528465
177.0,177.0,0.24075216
178.0,178.0,0.51835793
179.0,179.0,0.042875245
180.0,180.0,0.538116
181.0,181.0,0.091265626
182.0,182.0,5.8834537E-9
183.0,183.0,0.6519256
184.0,184.0,0.0025819123
185.0,185.0,0.3825767
186.0,186.0,0.03232985
187.0,187.0,0.0128962
188.0,188.0,0.6454751
189.0,189.0,0.4184401
190.0,190.0,0.18074057
191.0,191.0,0.018262982
192.0,192.0,0.13741302
193.0,193.0,0.12572566
194.0,194.0,0.0015280065
195.0,195.0,0.24092875
196.0,196.0,0.117215656
197.0,197.0,0.53203475
198.0,198.0,0.005373714
199.0,199.0,0.001328052
200.0,200.0,0.42410082
201.0,201.0,0.02998209
202.0,202.0,0.05352514
203.0,203.0,0.0012619795
204.0,204.0,0.24485636
205.0,205.0,2.2813623E-5
206.0,206.0,1.5510453E-8
207.0,207.0,0.41362497
208.0,208.0,0.0078100697
209.0,209.0,0.06864464
210.0,210.0,0.06974229
211.0,211.0,8.1563904E-4
212.0,212.0,0.061977405
213.0,213.0,0.035970837
214.0,214.0,0.406129
215.0,215.0,0.099491626
216.0,216.0,0.0023345328
217.0,217.0,0.006483057
218.0,218.0,0.045340408
219.0,219.0,0.42328495
220.0,220.0,0.4239639
221.0,221.0,0.04009765
222.0,222.0,0.51215476
223.0,223.0,5.8698584E-4
224.0,224.0,0.28611064
225.0,225.0,0.01102805
226.0,226.0,0.0025891727
227.0,227.0,0.4417668
228.0,228.0,0.040791124
229.0,229.0,0.6310054
230.0,230.0,0.0052391933
231.0,231.0,0.029736426
232.0,232.0,0.032512642
233.0,233.0,0.0066352147
234.0,234.0,0.15553105
235.0,235.0,1.655203E-4
236.0,236.0,0.0030885888
237.0,237.0,0.65428966
238.0,238.0,5.974764E-6
239.0,239.0,0.3077064
240.0,240.0,0.0029975793
241.0,241.0,0.006450822
242.0,242.0,0.6708472
243.0,243.0,0.012890147
244.0,244.0,0.4475387
245.0,245.0,0.4300396
246.0,246.0,0.6462116
247.0,247.0,0.037500326
248.0,248.0,0.005508958
249.0,249.0,0.0021234176
250.0,250.0,0.14493017
251.0,251.0,0.0012793493
252.0,252.0,0.20802191
253.0,253.0,9.650843E-6
254.0,254.0,0.0016359402
255.0,255.0,1.9620301E-4
256.0,256.0,0.6635129
257.0,257.0,9.580548E-5
258.0,258.0,0.013518475
259.0,259.0,0.001720909
260.0,260.0,0.61029965
261.0,261.0,1.4536028E-8
262.0,262.0,0.6717453
263.0,263.0,0.5102832
264.0,264.0,0.05483608
265.0,265.0,0.09381287
266.0,266.0,0.55415463
267.0,267.0,4.5075276E-4
268.0,268.0,0.005884013
269.0,269.0,0.25006086
270.0,270.0,0.040362738
271.0,271.0,0.021685818
272.0,272.0,0.0012437206
273.0,273.0,0.037912864
274.0,274.0,0.036146797
275.0,275.0,0.5809025
276.0,276.0,0.10842482
277.0,277.0,0.0047524436
278.0,278.0,0.0888756
279.0,279.0,0.001535699
280.0,280.0,8.3632483E-7
281.0,281.0,0.008500244
282.0,282.0,0.016742328
283.0,283.0,0.0054357373
284.0,284.0,0.020854976
285.0,285.0,0.54565716
286.0,286.0,0.0037088264
287.0,287.0,2.1898907E-4
288.0,288.0,0.03974222
289.0,289.0,0.32464072
290.0,290.0,0.1495257
291.0,291.0,0.169051
292.0,292.0,0.07696332
293.0,293.0,0.654946
294.0,294.0,0.012164048
295.0,295.0,0.058259457
296.0,296.0,0.056865975
297.0,297.0,7.354635E-4
298.0,298.0,0.40674067
299.0,299.0,0.0018184937
300.0,300.0,0.10783561
301.0,301.0,0.052012153
302.0,302.0,3.8448075E-6
303.0,303.0,0.64743286
304.0,304.0,0.62801206
305.0,305.0,0.09721874
306.0,306.0,0.13850048
307.0,307.0,0.14526527
308.0,308.0,0.012323951
309.0,309.0,0.68462205
310.0,310.0,0.0077965213
311.0,311.0,0.58552676
312.0,312.0,4.352285E-4
313.0,313.0,0.64506924
314.0,314.0,0.67285925
315.0,315.0,0.23968185
316.0,316.0,0.01681773
317.0,317.0,0.17184715
318.0,318.0,0.6394244
319.0,319.0,0.034000594
320.0,320.0,0.0059310296
321.0,321.0,0.58268636
322.0,322.0,0.0014336103
323.0,323.0,5.559937E-4
324.0,324.0,0.61724794
325.0,325.0,0.27114812
326.0,326.0,7.4320155E-7
327.0,327.0,0.6236113
328.0,328.0,0.55229175
329.0,329.0,0.6788235
330.0,330.0,0.43280008
331.0,331.0,0.26383364
332.0,332.0,0.43073818
333.0,333.0,0.0041374844
334.0,334.0,0.2574979
335.0,335.0,0.44972372
336.0,336.0,0.021041809
337.0,337.0,0.6228409
338.0,338.0,0.2048561
339.0,339.0,0.0019211812
340.0,340.0,0.17821805
341.0,341.0,1.2989912E-5
342.0,342.0,0.003224419
343.0,343.0,0.21316169
344.0,344.0,0.3951152
345.0,345.0,0.15019928
346.0,346.0,0.664981
347.0,347.0,0.5437167
348.0,348.0,0.0021889282
349.0,349.0,0.64842325
350.0,350.0,0.37807617
351.0,351.0,0.29905167
352.0,352.0,0.03099327
353.0,353.0,0.3834165
354.0,354.0,0.32865798
355.0,355.0,0.60740733
356.0,356.0,0.023262728
357.0,357.0,0.060053356
358.0,358.0,0.3966119
359.0,359.0,0.083561234
360.0,360.0,1.5206804E-4
361.0,361.0,0.18118156
362.0,362.0,0.57835853
363.0,363.0,0.64460325
364.0,364.0,0.1731751
365.0,365.0,0.21204212
366.0,366.0,0.005109698
367.0,367.0,0.07570651
368.0,368.0,0.001312801
369.0,369.0,0.66308135
370.0,370.0,9.659795E-4
371.0,371.0,8.3339657E-4
372.0,372.0,0.569886
373.0,373.0,0.064191684
374.0,374.0,0.5067654
375.0,375.0,0.693681
376.0,376.0,0.6870884
377.0,377.0,0.6407269
378.0,378.0,0.26046968
379.0,379.0,0.01115938
380.0,380.0,0.013796332
381.0,381.0,0.3795857
382.0,382.0,0.38713872
383.0,383.0,0.0013193915
384.0,384.0,0.08373491
385.0,385.0,0.07363163
386.0,386.0,0.15416856
387.0,387.0,0.017402284
388.0,388.0,0.05305628
389.0,389.0,0.0098316325
390.0,390.0,0.025982272
391.0,391.0,0.16576597
392.0,392.0,0.0030841196
393.0,393.0,0.037165258
394.0,394.0,9.4417913E-4
395.0,395.0,0.48488984
396.0,396.0,0.36439267
397.0,397.0,0.0017272516
398.0,398.0,0.0054445164
399.0,399.0,0.002671219
400.0,400.0,3.1541672E-4
401.0,401.0,0.01685484
402.0,402.0,0.09899153
403.0,403.0,0.622509
404.0,404.0,0.041334577
405.0,405.0,0.022180444
406.0,406.0,0.4460979
407.0,407.0,0.59361017
408.0,408.0,9.887147E-6
409.0,409.0,0.65239877
410.0,410.0,0.003773686
411.0,411.0,0.52683294
412.0,412.0,0.0021972153
413.0,413.0,2.4991432E-6
414.0,414.0,0.078173414
415.0,415.0,0.3822893
416.0,416.0,0.20301014
417.0,417.0,0.28434718
418.0,418.0,0.022221109
419.0,419.0,1.5825466E-7
420.0,420.0,0.15366794
421.0,421.0,0.5105475
422.0,422.0,0.18229446
423.0,423.0,2.6489698E-4
424.0,424.0,0.21243508
425.0,425.0,0.029967645
426.0,426.0,0.31807032
427.0,427.0,0.06842564
428.0,428.0,0.33660552
429.0,429.0,0.47049534
430.0,430.0,0.26588675
431.0,431.0,0.0014527042
432.0,432.0,0.15417077
433.0,433.0,0.6092401
434.0,434.0,0.0229416
435.0,435.0,0.017244486
436.0,436.0,0.022541758
437.0,437.0,0.28648973
438.0,438.0,0.042123538
439.0,439.0,0.5803949
440.0,440.0,3.4158994E-4
441.0,441.0,0.03748185
442.0,442.0,0.4608422
443.0,443.0,0.4210431
444.0,444.0,0.052237578
445.0,445.0,0.021273494
446.0,446.0,0.12862182
447.0,447.0,0.6300893
448.0,448.0,2.4725412E-4
449.0,449.0,0.348861
450.0,450.0,0.1553141
451.0,451.0,0.17162663
452.0,452.0,0.52165365
453.0,453.0,0.48662102
454.0,454.0,0.553684
455.0,455.0,8.5282074E-5
456.0,456.0,0.61946934
457.0,457.0,0.33391207
458.0,458.0,0.39492702
459.0,459.0,0.0021257068
460.0,460.0,0.0023312636
461.0,461.0,0.3065457
462.0,462.0,5.2945587E-5
463.0,463.0,7.408742E-4
464.0,464.0,0.67818147
465.0,465.0,0.6097523
466.0,466.0,0.02486011
467.0,467.0,0.008478414
468.0,468.0,0.60892516
469.0,469.0,0.23515415
470.0,470.0,0.5337722
471.0,471.0,0.0011990495
472.0,472.0,0.014779398
473.0,473.0,0.16460638
474.0,474.0,0.65865505
475.0,475.0,0.55811495
476.0,476.0,0.17501043
477.0,477.0,0.39145812
478.0,478.0,0.013472472
479.0,479.0,0.0011521773
480.0,480.0,0.031319857
481.0,481.0,0.10217122
482.0,482.0,0.022956787
483.0,483.0,0.5023715
484.0,484.0,0.35196197
485.0,485.0,0.07838032
486.0,486.0,0.6044336
487.0,487.0,0.0021817824
488.0,488.0,0.6195719
489.0,489.0,0.024807721
490.0,490.0,0.20396678
491.0,491.0,0.5414004
492.0,492.0,0.29628083
493.0,493.0,0.16568771
494.0,494.0,0.37681025
495.0,495.0,0.04486752
496.0,496.0,0.04852912
497.0,497.0,0.23538294
498.0,498.0,5.909441E-4
499.0,499.0,0.051652256
500.0,500.0,0.6384606
501.0,501.0,8.365394E-4
502.0,502.0,0.36446086
503.0,503.0,0.0013713347
504.0,504.0,0.064475656
505.0,505.0,0.19430158
506.0,506.0,0.0019487069
507.0,507.0,3.022979E-5
508.0,508.0,0.4783262
509.0,509.0,0.34357
510.0,510.0,0.503675
511.0,511.0,0.47060212
512.0,512.0,0.2602875
513.0,513.0,0.032019824
514.0,514.0,0.0022179412
