X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,5.124445845662967E-4,87.84882526527909,0.6679848662180292
2.0,2.0,train,3.7480846259413977E-4,60.77500142263827,0.5953934942908196
3.0,3.0,train,5.095787502432457E-4,87.46922644231176,0.6667399099318144
4.0,4.0,train,3.9447932481555226E-4,65.5332192439666,0.6076534234545145
5.0,5.0,train,3.299053399414817E-4,49.81629898117388,0.5643162422163109
6.0,6.0,train,1.9836767294589047E-4,26.020587677873966,0.4378271004683669
7.0,7.0,train,4.767682769182303E-5,5.092882490052881,0.15767072996652728
8.0,8.0,train,3.739011696595351E-4,60.59026457708282,0.5948095095896011
9.0,9.0,train,2.952841176542161E-4,42.4557183862875,0.5368904394587958
10.0,10.0,train,2.267170459914705E-4,30.63107439179192,0.4709315997327989
12.0,12.0,train,1.9100250889764298E-4,24.783455584078382,0.42853739418377473
13.0,13.0,train,2.676272733891718E-4,37.37031618831598,0.5123693832977394
14.0,14.0,train,3.938637598241139E-4,65.25030661647081,0.6072810424821506
15.0,15.0,train,4.780829243581601E-4,82.95471723749586,0.6524161259408077
16.0,16.0,train,4.909589850563649E-4,84.90783194099988,0.6584181707039157
17.0,17.0,train,5.345801337574011E-4,89.83485960223287,0.6772962458713854
18.0,18.0,train,3.702451205467417E-4,59.6275232616451,0.5924390878243679
19.0,19.0,train,5.662640249142801E-4,92.72010509236146,0.6897504374926026
20.0,20.0,train,4.4065984482832035E-4,76.62358621003534,0.6337099007940299
21.0,21.0,train,4.859747365430054E-4,84.27145662260847,0.6561195688858112
22.0,22.0,train,4.369288178615937E-4,75.88456438021008,0.6317339456020826
23.0,23.0,train,2.767283991559251E-4,39.01734548773729,0.5207203529159866
24.0,24.0,train,2.0668493169836053E-4,27.51774970703038,0.4479611173205558
25.0,25.0,train,1.6153572651184974E-4,20.588436825852447,0.38808208382018017
26.0,26.0,train,4.2817560491531856E-4,73.79462076846154,0.6270134875161009
27.0,27.0,train,1.853461104792981E-4,24.068613958081226,0.4211918447414948
28.0,28.0,train,4.860091464223973E-5,5.229235806847411,0.16023706449548566
29.0,29.0,train,4.4311228652013277E-4,77.14635990908599,0.6349972070901826
30.0,30.0,train,4.364389117579597E-4,75.66108535903388,0.6314729063619664
31.0,31.0,train,6.452946878213142E-4,97.16954681698326,0.7169940219426162
32.0,32.0,train,8.024599275412935E-5,9.19075323249105,0.2395750332259626
34.0,34.0,train,1.8143884347887452E-4,23.47531258171686,0.4160065006689595
37.0,37.0,train,4.952368865855771E-4,85.33778418632237,0.660366658530459
38.0,38.0,train,3.1158639767455353E-4,45.81465647960441,0.5502223324371267
40.0,40.0,train,6.641221363635547E-4,98.26813972757196,0.7227930214684857
41.0,41.0,train,4.07011136906909E-4,68.47896331362404,0.6150838158428132
42.0,42.0,train,5.893226239142848E-4,94.26982129145503,0.6982263648181575
43.0,43.0,train,1.3803322434242305E-4,17.226408749337836,0.3514633226381078
45.0,45.0,train,1.9120584374094263E-4,24.831961343525148,0.4287979802514747
46.0,46.0,train,5.353715670932525E-4,89.99692051014418,0.6776195036259552
47.0,47.0,train,1.8922277600162677E-4,24.554785082399015,0.4262463686596446
48.0,48.0,train,4.257752877069804E-4,73.23155959583856,0.6256978205894739
49.0,49.0,train,1.8204099914663225E-4,23.57223045670624,0.4168116704208097
50.0,50.0,train,1.6727680243434773E-4,21.503681675747412,0.3964072386148057
51.0,51.0,train,6.53446866837417E-5,7.457683783113143,0.20417018444506235
52.0,52.0,train,3.1795058272072893E-4,47.357140780458856,0.5552209151059279
53.0,53.0,train,7.953563604882559E-4,99.82219150066935,0.7574376908314775
54.0,54.0,train,2.9215534250519933E-4,42.05008138053807,0.5342408331645349
55.0,55.0,train,6.466727115818245E-4,97.28201881917445,0.7174266805062508
56.0,56.0,train,4.7373292263931145E-4,82.1455344305219,0.650340465740308
57.0,57.0,train,3.8078083044732104E-4,62.02577299901098,0.5991960296488357
58.0,58.0,train,3.187568427136469E-4,47.50767057743181,0.5558462528364242
59.0,59.0,train,2.674760238173623E-4,37.33725432604928,0.5122281413507692
60.0,60.0,train,4.054614200865112E-4,68.14401688275936,0.6141802395641396
62.0,62.0,train,3.830689922945235E-4,62.76796275922339,0.6006340057639092
63.0,63.0,train,5.481026193577662E-4,91.22438448021337,0.682731862761676
64.0,64.0,train,3.4271042199077715E-4,53.20782964128438,0.5736547397821715
65.0,65.0,train,4.5333275087223204E-4,78.8106456570464,0.640265988145607
66.0,66.0,train,4.796578087855192E-4,83.10366626354997,0.6531615396796772
67.0,67.0,train,2.7900612717112643E-4,39.36412337608278,0.5227657812216111
68.0,68.0,train,6.930468580805623E-4,99.10715971641986,0.7312531803163599
69.0,69.0,train,1.4505177226333918E-4,18.175776180181362,0.3628496991268255
70.0,70.0,train,4.0454609687738273E-4,67.95357135541852,0.6136445566280742
11.0,11.0,test,2.0511812640174978E-4,27.281353904218296,0.4460800969241199
33.0,33.0,test,3.696633270439017E-4,59.444205393905264,0.5920593181822629
35.0,35.0,test,3.8690054328134176E-4,63.56222999183468,0.6030189449440366
36.0,36.0,test,1.3103497765184428E-4,16.156174169835026,0.3396973270741708
39.0,39.0,test,5.482912328644694E-4,91.24425086733498,0.6828063849364272
44.0,44.0,test,4.235039348328321E-5,4.428185764405201,0.14256713182221847
61.0,61.0,test,1.9318044253455752E-4,25.14042827889609,0.4313162442689104
