x,y,raw,cumulative,logistic
1.0,1.0,4.49618E-6,0.358660854,0.017513212
2.0,2.0,2.42549E-4,34.029023192,0.490212547
3.0,3.0,3.33755E-5,3.308479232,0.116857062
4.0,4.0,1.10581E-6,0.070587506,0.004364908
5.0,5.0,2.67914E-4,39.293143201,0.51507217
6.0,6.0,2.13073E-8,0.000236597,0.000084467
7.0,7.0,8.0415E-7,0.048578179,0.003177976
8.0,8.0,1.8388E-4,23.848948216,0.421631974
9.0,9.0,6.31662E-6,0.5252189,0.024430861
10.0,10.0,2.13697E-5,1.968816102,0.078104584
11.0,11.0,1.13582E-4,13.287652558,0.310488385
12.0,12.0,1.57244E-4,19.567513995,0.384011223
13.0,13.0,2.44966E-4,34.760869102,0.492690289
14.0,14.0,2.93087E-4,44.641290817,0.537457692
15.0,15.0,7.29235E-6,0.616140024,0.028098643
16.0,16.0,1.6524E-6,0.112714422,0.006508427
17.0,17.0,1.43044E-6,0.097044195,0.005639094
18.0,18.0,1.19258E-6,0.07647673,0.004705804
19.0,19.0,1.07371E-4,12.317880051,0.298579106
20.0,20.0,9.4064E-8,0.002058404,0.000372784
21.0,21.0,2.56078E-5,2.436597896,0.092166585
22.0,22.0,8.06569E-7,0.048980912,0.003187503
23.0,23.0,2.70585E-7,0.011279966,0.001071602
24.0,24.0,3.11612E-4,49.507851091,0.552653816
25.0,25.0,1.4324E-6,0.097187435,0.005646792
26.0,26.0,1.3875E-4,17.01604769,0.354873386
27.0,27.0,2.79024E-6,0.206308358,0.010941054
28.0,28.0,3.82153E-7,0.017609926,0.001512778
29.0,29.0,1.63632E-7,0.004972441,0.000648309
30.0,30.0,1.09202E-7,0.002590943,0.00043275
31.0,31.0,4.61592E-6,0.368689118,0.017971263
32.0,32.0,4.36079E-6,0.347587251,0.016994821
33.0,33.0,1.38699E-12,0.000000003,0.000000005
34.0,34.0,4.13043E-4,72.265084259,0.620858224
35.0,35.0,8.79335E-5,9.841641985,0.258500325
36.0,36.0,7.85768E-8,0.001521584,0.000311426
37.0,37.0,2.43845E-4,34.345496027,0.491544583
38.0,38.0,2.93415E-5,2.818542084,0.104204486
39.0,39.0,9.41211E-5,10.726426105,0.271747185
40.0,40.0,1.01278E-5,0.862126716,0.038602293
41.0,41.0,1.54133E-5,1.353288118,0.057588005
42.0,42.0,7.98485E-6,0.673892306,0.030685071
43.0,43.0,4.52546E-5,4.753153485,0.152122013
44.0,44.0,1.64185E-7,0.005054387,0.0006505
45.0,45.0,2.09665E-5,1.932813845,0.076743985
46.0,46.0,1.73601E-4,22.253994237,0.407672215
47.0,47.0,2.27795E-5,2.105883007,0.082830405
48.0,48.0,3.21724E-4,51.596403544,0.560535079
49.0,49.0,1.69054E-5,1.512350969,0.06281275
50.0,50.0,3.1417E-7,0.013625976,0.001243999
51.0,51.0,1.9245E-7,0.006646551,0.000762398
52.0,52.0,2.16063E-7,0.00814703,0.000855863
53.0,53.0,1.18599E-5,1.008812511,0.044907877
54.0,54.0,4.56489E-4,80.970861436,0.644100186
55.0,55.0,1.91593E-4,25.200786762,0.43168385
56.0,56.0,2.51836E-4,36.227013237,0.499604731
57.0,57.0,3.30728E-4,52.93405661,0.567323407
58.0,58.0,5.99632E-6,0.497516491,0.023220784
59.0,59.0,1.48766E-6,0.101276083,0.005863344
60.0,60.0,1.69391E-4,21.756043343,0.401756513
61.0,61.0,4.31947E-4,76.396356466,0.631334142
62.0,62.0,3.65563E-4,61.205487117,0.591719747
63.0,63.0,4.14672E-5,4.28827725,0.141188127
64.0,64.0,2.56457E-5,2.44172586,0.092290513
65.0,65.0,7.29402E-6,0.616869426,0.028104899
66.0,66.0,5.63466E-7,0.030005577,0.002228918
67.0,67.0,6.44898E-5,6.957483183,0.203615132
