Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
7.88753E-13,0.000000001,0.000000003,0.99294445,0,0
1.47948E-12,0.000000003,0.000000006,0.991652589,0,0
3.87794E-12,0.00000001,0.000000016,0.988969492,0,0
9.35472E-12,0.000000025,0.000000037,0.986882639,0,0
2.56344E-11,0.000000102,0.000000103,0.982311438,0,0
6.28786E-11,0.000000256,0.000000252,0.978932724,0,0
1.95662E-10,0.000001005,0.000000784,0.972572791,0,0
4.13172E-10,0.000002527,0.000001656,0.967405346,0,0
1.53359E-9,0.000010128,0.000006148,0.958362317,0,0
3.19283E-9,0.000025158,0.000012799,0.951704263,0,0
5.62969E-9,0.000050516,0.000022567,0.945940574,0,0
1.06325E-8,0.000100865,0.00004262,0.939978138,0,0
2.25096E-8,0.000251059,0.000090224,0.930736361,0,0
4.10922E-8,0.000502789,0.000164696,0.922587698,0,0
6.89981E-8,0.001001842,0.00027651,0.913544669,0,0
1.1994E-7,0.00250026,0.000480562,0.897942959,0,0
1.78101E-7,0.005007066,0.000713427,0.880950015,0,0
2.88825E-7,0.010022866,0.001156447,0.859187121,0,0
5.42912E-7,0.025000585,0.002171598,0.822220014,0,0
8.75022E-7,0.050056478,0.003495363,0.786544768,0,0
1.56848E-6,0.100032689,0.006248124,0.744807711,0,0
2.88656E-6,0.200024896,0.011438746,0.699691941,0,0
3.9246E-6,0.30017589,0.015488519,0.670476001,0,0
4.89626E-6,0.40034048,0.01924939,0.647818742,0,0
5.95478E-6,0.500375652,0.023313893,0.629335188,0,0
7.05886E-6,0.60062427,0.027517573,0.614130975,0,0
8.03181E-6,0.700097339,0.031192133,0.601013614,0,0
8.47972E-6,0.750262536,0.03287443,0.594951804,0,0
9.06971E-6,0.800073892,0.035081473,0.589287489,0,0
1.01236E-5,0.900999123,0.038999074,0.578853225,0,0
1.10681E-5,1.000584589,0.042482929,0.569512074,0,0
1.20658E-5,1.101158597,0.046135764,0.560866541,0,0
1.31308E-5,1.200396885,0.050004116,0.553015999,0,0
1.3947E-5,1.300334394,0.052947869,0.545662327,0,0
1.50059E-5,1.401486567,0.056739661,0.538706151,0,0
1.59514E-5,1.500303572,0.060100093,0.532346219,0,0
1.80503E-5,1.750664877,0.067474553,0.517738249,0,0
1.99566E-5,2.000617908,0.074072585,0.504620888,0,0
2.26023E-5,2.251751822,0.083076686,0.492894763,0,0
2.52074E-5,2.501084675,0.091773155,0.482559873,0,0
2.75384E-5,2.752169406,0.099416168,0.473119348,0,0
2.94E-5,3.002756579,0.10542809,0.464374441,0,0
3.15124E-5,3.251349061,0.112153527,0.456225778,0,0
3.31288E-5,3.500465715,0.117232092,0.448573984,0,0
3.51484E-5,3.75317379,0.123496196,0.441220312,0,0
3.75582E-5,4.003498042,0.130855217,0.43436351,0,0
3.93739E-5,4.252794364,0.136318872,0.427904204,0,0
4.12187E-5,4.50327474,0.141800241,0.421743019,0,0
4.33388E-5,4.753124387,0.148013999,0.415879956,0,0
4.50619E-5,5.000749131,0.152998557,0.410315015,0,0
4.71667E-5,5.254210889,0.159008761,0.404849448,0,0
4.88528E-5,5.503744074,0.163761934,0.399682003,0,0
5.07237E-5,5.752619284,0.168973803,0.394713306,0.015873016,0
5.29321E-5,6.001531292,0.175042803,0.389943357,0.015873016,0
5.43761E-5,6.253716393,0.17896342,0.385272781,0.015873016,0
5.64474E-5,6.503268371,0.184522554,0.380800954,0.015873016,0
5.80921E-5,6.755766782,0.188883636,0.3764285,0.015873016,0
6.05741E-5,7.005064646,0.195376847,0.372254795,0.031746032,0
6.21931E-5,7.250788852,0.199556905,0.368279837,0.031746032,0
6.4158E-5,7.503374784,0.204571725,0.364304879,0.031746032,0
6.58309E-5,7.750282357,0.208792249,0.360528669,0.031746032,0
6.79516E-5,8.003998482,0.21407831,0.35675246,0.031746032,0
7.0258E-5,8.252260316,0.21974779,0.353174998,0.047619048,0
7.1521E-5,8.500066918,0.222818096,0.349696909,0.063492063,0
7.3969E-5,8.75502109,0.228700278,0.346218821,0.063492063,0
7.61756E-5,9.002395773,0.233926945,0.342939481,0.063492063,0
7.81712E-5,9.256520933,0.238592929,0.339660141,0.063492063,0
7.97524E-5,9.501316015,0.242249984,0.336579549,0.079365079,0
8.19314E-5,9.751107273,0.247232368,0.333498957,0.079365079,0
8.42623E-5,10.000213389,0.252489939,0.330517738,0.079365079,0
8.63742E-5,10.256708951,0.257190658,0.32753652,0.079365079,0
8.81076E-5,10.501182009,0.261005078,0.324754049,0.079365079,0
9.02367E-5,10.750607866,0.265636805,0.321971579,0.079365079,0
