x,y,species avg
1.0,1.0,0.03257587
2.0,2.0,0.50463635
3.0,3.0,0.11441222
4.0,4.0,0.0036948898
5.0,5.0,0.5592951
6.0,6.0,9.94399E-5
7.0,7.0,0.003091702
8.0,8.0,0.45264462
9.0,9.0,0.025494471
10.0,10.0,0.06952675
11.0,11.0,0.2839918
12.0,12.0,0.39843634
13.0,13.0,0.4869835
14.0,14.0,0.44882622
15.0,15.0,0.026180116
16.0,16.0,0.007111959
17.0,17.0,0.010244621
18.0,18.0,0.0031131718
19.0,19.0,0.30648127
20.0,20.0,3.7639312E-4
21.0,21.0,0.09359258
22.0,22.0,0.0035918925
23.0,23.0,0.0010193542
24.0,24.0,0.58789647
25.0,25.0,0.006820046
26.0,26.0,0.36823383
27.0,27.0,0.015603231
28.0,28.0,0.0017742025
29.0,29.0,6.766309E-4
30.0,30.0,5.240254E-4
31.0,31.0,0.02205783
32.0,32.0,0.035511658
33.0,33.0,1.41990375E-8
34.0,34.0,0.66326404
35.0,35.0,0.22758907
36.0,36.0,4.899839E-4
37.0,37.0,0.5426362
38.0,38.0,0.16978873
39.0,39.0,0.33772412
40.0,40.0,0.06354565
41.0,41.0,0.05904504
42.0,42.0,0.04222639
43.0,43.0,0.11536209
44.0,44.0,8.467047E-4
45.0,45.0,0.14771841
46.0,46.0,0.38465813
47.0,47.0,0.0860578
48.0,48.0,0.5537309
49.0,49.0,0.050800882
50.0,50.0,0.0010736481
51.0,51.0,0.0012722283
52.0,52.0,8.8491046E-4
53.0,53.0,0.07868663
54.0,54.0,0.62676466
55.0,55.0,0.41576955
56.0,56.0,0.51391876
57.0,57.0,0.54340506
58.0,58.0,0.030267863
59.0,59.0,0.014924116
60.0,60.0,0.4007087
61.0,61.0,0.6075799
62.0,62.0,0.5894171
63.0,63.0,0.13911608
64.0,64.0,0.09425523
65.0,65.0,0.024976045
66.0,66.0,0.0021907245
67.0,67.0,0.17407057
68.0,68.0,1.05611354E-4
69.0,69.0,0.044974588
70.0,70.0,0.5469124
71.0,71.0,0.03957502
72.0,72.0,0.6142467
73.0,73.0,0.041199356
74.0,74.0,2.2354761E-6
75.0,75.0,1.26515E-4
76.0,76.0,0.41517907
77.0,77.0,0.51050013
78.0,78.0,0.26064187
79.0,79.0,0.0019278604
80.0,80.0,0.1526166
81.0,81.0,0.08900436
82.0,82.0,0.006277093
83.0,83.0,0.20192523
84.0,84.0,0.4470738
85.0,85.0,0.5984376
86.0,86.0,3.388119E-6
87.0,87.0,0.62654907
88.0,88.0,0.6796029
89.0,89.0,0.612847
90.0,90.0,0.18767491
91.0,91.0,0.6380008
92.0,92.0,0.010440042
93.0,93.0,2.2359194E-4
94.0,94.0,0.011194551
95.0,95.0,0.48864406
96.0,96.0,0.6239814
97.0,97.0,0.0012541286
98.0,98.0,0.46936586
99.0,99.0,4.7155758E-4
100.0,100.0,6.406094E-4
101.0,101.0,3.1133057E-4
102.0,102.0,0.0017077776
103.0,103.0,0.62329316
104.0,104.0,0.021375328
105.0,105.0,5.239437E-7
106.0,106.0,0.3941497
107.0,107.0,0.48511928
108.0,108.0,0.016531967
109.0,109.0,0.50405264
110.0,110.0,0.037206434
111.0,111.0,0.36186275
112.0,112.0,0.0047858274
113.0,113.0,0.0026487166
114.0,114.0,0.38863182
115.0,115.0,4.7542684E-4
116.0,116.0,0.15219879
117.0,117.0,0.012165384
118.0,118.0,0.20489548
119.0,119.0,0.3577662
120.0,120.0,4.839514E-5
121.0,121.0,0.57762235
122.0,122.0,7.4339896E-6
123.0,123.0,0.24588116
124.0,124.0,0.12025358
125.0,125.0,0.1020062
126.0,126.0,9.3220275E-5
127.0,127.0,0.36914214
128.0,128.0,0.3759401
129.0,129.0,0.014616818
130.0,130.0,0.088163726
131.0,131.0,0.2643292
132.0,132.0,0.5662321
133.0,133.0,0.07082459
134.0,134.0,0.17002983
135.0,135.0,0.02495865
