x,y,species max
1.0,1.0,0.04208328
2.0,2.0,0.55940604
3.0,3.0,0.14119548
4.0,4.0,0.00601921
5.0,5.0,0.58828
6.0,6.0,2.1458657E-4
7.0,7.0,0.0047215074
8.0,8.0,0.5125486
9.0,9.0,0.03872434
10.0,10.0,0.099545255
11.0,11.0,0.33970365
12.0,12.0,0.44758582
13.0,13.0,0.5557119
14.0,14.0,0.54943484
15.0,15.0,0.03594434
16.0,16.0,0.013387718
17.0,17.0,0.015175428
18.0,18.0,0.0047058035
19.0,19.0,0.39582723
20.0,20.0,6.151715E-4
21.0,21.0,0.11042473
22.0,22.0,0.0049353363
23.0,23.0,0.0017540916
24.0,24.0,0.6415251
25.0,25.0,0.011873942
26.0,26.0,0.42395386
27.0,27.0,0.021528685
28.0,28.0,0.0023953607
29.0,29.0,0.0013709554
30.0,30.0,9.207414E-4
31.0,31.0,0.0267168
32.0,32.0,0.050004113
33.0,33.0,4.368499E-8
34.0,34.0,0.6921377
35.0,35.0,0.29176664
36.0,36.0,9.934411E-4
37.0,37.0,0.57676065
38.0,38.0,0.20559926
39.0,39.0,0.36660182
40.0,40.0,0.0816885
41.0,41.0,0.07388399
42.0,42.0,0.055671334
43.0,43.0,0.152122
44.0,44.0,0.0017766737
45.0,45.0,0.18524197
46.0,46.0,0.4306026
47.0,47.0,0.14064568
48.0,48.0,0.5822284
49.0,49.0,0.07168675
50.0,50.0,0.002140446
51.0,51.0,0.002695379
52.0,52.0,0.0016935493
53.0,53.0,0.10609831
54.0,54.0,0.67994916
55.0,55.0,0.46698794
56.0,56.0,0.56620115
57.0,57.0,0.59554625
58.0,58.0,0.04084828
59.0,59.0,0.021594115
60.0,60.0,0.44184026
61.0,61.0,0.6457553
62.0,62.0,0.63542
63.0,63.0,0.1932502
64.0,64.0,0.11312904
65.0,65.0,0.035511024
66.0,66.0,0.0034146097
67.0,67.0,0.20471711
68.0,68.0,2.4281134E-4
69.0,69.0,0.059942484
70.0,70.0,0.64365256
71.0,71.0,0.055069253
72.0,72.0,0.6631337
73.0,73.0,0.059241325
74.0,74.0,5.8708706E-6
75.0,75.0,2.8610436E-4
76.0,76.0,0.4714611
77.0,77.0,0.56460404
78.0,78.0,0.30804786
79.0,79.0,0.0028753066
80.0,80.0,0.19840494
81.0,81.0,0.12773417
82.0,82.0,0.010047625
83.0,83.0,0.2590334
84.0,84.0,0.5001662
85.0,85.0,0.6315294
86.0,86.0,9.397134E-6
87.0,87.0,0.6660579
88.0,88.0,0.71278185
89.0,89.0,0.6449595
90.0,90.0,0.2305446
91.0,91.0,0.66036105
92.0,92.0,0.016444761
93.0,93.0,5.457182E-4
94.0,94.0,0.014793625
95.0,95.0,0.55665445
96.0,96.0,0.65948135
97.0,97.0,0.0024449616
98.0,98.0,0.5581415
99.0,99.0,9.130658E-4
100.0,100.0,0.0011564468
101.0,101.0,6.3409016E-4
102.0,102.0,0.002848094
103.0,103.0,0.7099757
104.0,104.0,0.028397871
105.0,105.0,1.255728E-6
106.0,106.0,0.44797358
107.0,107.0,0.5508644
108.0,108.0,0.02334315
109.0,109.0,0.5844108
110.0,110.0,0.0517725
111.0,111.0,0.40153843
112.0,112.0,0.0068555097
113.0,113.0,0.0035551193
114.0,114.0,0.455341
115.0,115.0,6.6510885E-4
116.0,116.0,0.19231808
117.0,117.0,0.016433569
118.0,118.0,0.25174177
119.0,119.0,0.40692425
120.0,120.0,1.13970025E-4
121.0,121.0,0.61696094
122.0,122.0,1.9680967E-5
123.0,123.0,0.28381845
124.0,124.0,0.13690689
125.0,125.0,0.12621261
126.0,126.0,1.7483576E-4
127.0,127.0,0.4188429
128.0,128.0,0.43568352
129.0,129.0,0.022978049
130.0,130.0,0.11303434
131.0,131.0,0.3054823
132.0,132.0,0.6679309
133.0,133.0,0.09329087
134.0,134.0,0.2068918
135.0,135.0,0.035266493
136.0,136.0,0.03661795
137.0,137.0,0.0052273506
138.0,138.0,0.0010419415
139.0,139.0,0.0052516316
140.0,140.0,0.034029264
141.0,141.0,0.5496079
142.0,142.0,0.14730857
143.0,143.0,0.07408411
144.0,144.0,0.11641373
145.0,145.0,0.0025678452
146.0,146.0,0.046492513
147.0,147.0,0.21143824
148.0,148.0,0.0066830744
149.0,149.0,0.03050934
150.0,150.0,0.03740033
151.0,151.0,0.0033380294
152.0,152.0,0.3715506
153.0,153.0,0.012028558
154.0,154.0,0.0080268225
155.0,155.0,0.026537247
156.0,156.0,0.15955672
157.0,157.0,7.7696845E-5
158.0,158.0,0.30945563
159.0,159.0,0.181194
160.0,160.0,0.3867094
161.0,161.0,2.6366556E-10
162.0,162.0,0.70586497
163.0,163.0,0.010867978
164.0,164.0,0.004897229
165.0,165.0,0.007890937
