x,y,species median
1.0,1.0,0.03462615
2.0,2.0,0.49937955
3.0,3.0,0.122948706
4.0,4.0,0.0038904047
5.0,5.0,0.5607484
6.0,6.0,8.446711E-5
7.0,7.0,0.0031979354
8.0,8.0,0.44581416
9.0,9.0,0.024430862
10.0,10.0,0.078104585
11.0,11.0,0.28193694
12.0,12.0,0.39493448
13.0,13.0,0.4926355
14.0,14.0,0.49142617
15.0,15.0,0.02809864
16.0,16.0,0.006508427
17.0,17.0,0.0115991095
18.0,18.0,0.003391972
19.0,19.0,0.30957428
20.0,20.0,3.7278375E-4
21.0,21.0,0.0942818
22.0,22.0,0.0038936716
23.0,23.0,0.0010716018
24.0,24.0,0.57943964
25.0,25.0,0.0082935905
26.0,26.0,0.36039913
27.0,27.0,0.016466623
28.0,28.0,0.0017498563
29.0,29.0,6.483094E-4
30.0,30.0,4.82007E-4
31.0,31.0,0.02307894
32.0,32.0,0.038082737
33.0,33.0,1.3451451E-8
34.0,34.0,0.66873163
35.0,35.0,0.23940934
36.0,36.0,5.233312E-4
37.0,37.0,0.5589876
38.0,38.0,0.1929267
39.0,39.0,0.35553065
40.0,40.0,0.07301754
41.0,41.0,0.059279025
42.0,42.0,0.044359416
43.0,43.0,0.12886977
44.0,44.0,8.8189106E-4
45.0,45.0,0.171232
46.0,46.0,0.4076722
47.0,47.0,0.08328486
48.0,48.0,0.5572981
49.0,49.0,0.051771607
50.0,50.0,0.0010594976
51.0,51.0,0.0015268623
52.0,52.0,8.5586275E-4
53.0,53.0,0.07923337
54.0,54.0,0.6163384
55.0,55.0,0.42128277
56.0,56.0,0.5306789
57.0,57.0,0.55395937
58.0,58.0,0.031208953
59.0,59.0,0.016417157
60.0,60.0,0.4017565
61.0,61.0,0.612273
62.0,62.0,0.58592093
63.0,63.0,0.14327884
64.0,64.0,0.092698716
65.0,65.0,0.024760222
66.0,66.0,0.0022289183
67.0,67.0,0.17940332
68.0,68.0,9.629015E-5
69.0,69.0,0.048565827
70.0,70.0,0.5427442
71.0,71.0,0.04763182
72.0,72.0,0.6064621
73.0,73.0,0.040874235
74.0,74.0,1.7370938E-6
75.0,75.0,1.1682079E-4
76.0,76.0,0.4108429
77.0,77.0,0.51417595
78.0,78.0,0.28722903
79.0,79.0,0.0018262393
80.0,80.0,0.1614291
81.0,81.0,0.09255989
82.0,82.0,0.0056202854
83.0,83.0,0.21403122
84.0,84.0,0.45645002
85.0,85.0,0.60046035
86.0,86.0,3.6885492E-6
87.0,87.0,0.62545866
88.0,88.0,0.6858908
89.0,89.0,0.6274129
90.0,90.0,0.212432
91.0,91.0,0.6459344
92.0,92.0,0.011522999
93.0,93.0,2.4246034E-4
94.0,94.0,0.011978047
95.0,95.0,0.4923016
96.0,96.0,0.6304392
97.0,97.0,0.0011871518
98.0,98.0,0.46848
99.0,99.0,4.2696903E-4
100.0,100.0,6.3204067E-4
101.0,101.0,2.875091E-4
102.0,102.0,0.001658228
103.0,103.0,0.6496185
104.0,104.0,0.022887355
105.0,105.0,4.1123792E-7
106.0,106.0,0.39742455
107.0,107.0,0.49951613
108.0,108.0,0.01898824
109.0,109.0,0.5431323
110.0,110.0,0.040916696
111.0,111.0,0.3704389
112.0,112.0,0.0050829924
113.0,113.0,0.0027397359
114.0,114.0,0.37943316
115.0,115.0,4.8662393E-4
116.0,116.0,0.154131
