x,y,species min
1.0,1.0,0.017513212
2.0,2.0,0.45633322
3.0,3.0,0.05883242
4.0,4.0,0.0022302542
5.0,5.0,0.51507217
6.0,6.0,3.9776576E-5
7.0,7.0,0.0013310593
8.0,8.0,0.42163196
9.0,9.0,0.015725022
10.0,10.0,0.034342013
11.0,11.0,0.24113123
12.0,12.0,0.35477734
13.0,13.0,0.43841714
14.0,14.0,0.22198834
15.0,15.0,0.01433263
16.0,16.0,0.002802366
17.0,17.0,0.005585463
18.0,18.0,0.0010204951
19.0,19.0,0.24355674
20.0,20.0,1.321567E-4
21.0,21.0,0.0651284
22.0,22.0,0.0016821657
23.0,23.0,3.919811E-4
24.0,24.0,0.5526538
25.0,25.0,0.0026122504
26.0,26.0,0.32320216
27.0,27.0,0.009172397
28.0,28.0,0.0011111698
29.0,29.0,2.8730195E-4
30.0,30.0,2.7538333E-4
31.0,31.0,0.016608668
32.0,32.0,0.01699482
33.0,33.0,4.3907344E-9
34.0,34.0,0.62085825
35.0,35.0,0.16407718
36.0,36.0,1.4136347E-4
37.0,37.0,0.49154457
38.0,38.0,0.10420449
39.0,39.0,0.27174717
40.0,40.0,0.034780692
41.0,41.0,0.04060702
42.0,42.0,0.024962178
43.0,43.0,0.06944754
44.0,44.0,3.9549454E-4
45.0,45.0,0.07674398
46.0,46.0,0.29722467
47.0,47.0,0.06098901
48.0,48.0,0.5167729
49.0,49.0,0.028625458
50.0,50.0,5.3146394E-4
51.0,51.0,3.015357E-4
52.0,52.0,4.8310438E-4
53.0,53.0,0.044907868
54.0,54.0,0.59503424
55.0,55.0,0.37257603
56.0,56.0,0.44898987
57.0,57.0,0.4556293
58.0,58.0,0.020853251
59.0,59.0,0.0058633443
60.0,60.0,0.36870417
61.0,61.0,0.55594236
62.0,62.0,0.5495753
63.0,63.0,0.034729507
64.0,64.0,0.07772459
65.0,65.0,0.014517547
66.0,66.0,9.3212567E-4
67.0,67.0,0.11852515
68.0,68.0,4.171395E-5
69.0,69.0,0.028852783
70.0,70.0,0.47866377
71.0,71.0,0.0092101535
72.0,72.0,0.58688885
73.0,73.0,0.028973965
74.0,74.0,5.366998E-7
75.0,75.0,5.6533612E-5
76.0,76.0,0.3793475
77.0,77.0,0.4589817
78.0,78.0,0.15588224
79.0,79.0,0.0010792317
80.0,80.0,0.10383506
81.0,81.0,0.04366506
82.0,82.0,0.0034666373
83.0,83.0,0.10005989
84.0,84.0,0.40734017
85.0,85.0,0.5736732
86.0,86.0,7.0793305E-7
87.0,87.0,0.5925023
88.0,88.0,0.6486894
89.0,89.0,0.54138744
90.0,90.0,0.10233931
91.0,91.0,0.59178
92.0,92.0,0.0061256937
93.0,93.0,9.404556E-5
94.0,94.0,0.0063956464
95.0,95.0,0.40865666
96.0,96.0,0.5925737
97.0,97.0,6.936923E-4
98.0,98.0,0.42370838
99.0,99.0,2.4971276E-4
100.0,100.0,2.5031454E-4
101.0,101.0,1.4954415E-4
102.0,102.0,6.840476E-4
103.0,103.0,0.4106241
104.0,104.0,0.009174469
105.0,105.0,1.4554556E-7
106.0,106.0,0.31821153
107.0,107.0,0.3549517
108.0,108.0,0.008367686
109.0,109.0,0.10516149
110.0,110.0,0.018559994
111.0,111.0,0.32199696
112.0,112.0,0.0022741412
113.0,113.0,0.0015175341
114.0,114.0,0.31417733
115.0,115.0,2.0326015E-4
116.0,116.0,0.10208901
117.0,117.0,0.00774391
118.0,118.0,0.1519113
119.0,119.0,0.30858925
120.0,120.0,1.8476778E-5
121.0,121.0,0.5368231
122.0,122.0,2.007176E-6
123.0,123.0,0.16691734
124.0,124.0,0.063509986
125.0,125.0,0.08277284
126.0,126.0,4.8558428E-5
127.0,127.0,0.31754395
128.0,128.0,0.295613
129.0,129.0,0.007728694
130.0,130.0,0.048671912
131.0,131.0,0.16675143
132.0,132.0,0.49544534
133.0,133.0,0.034272313
134.0,134.0,0.116645336
135.0,135.0,0.011473795
136.0,136.0,0.016406316
137.0,137.0,0.0010463712
138.0,138.0,3.3322308E-4
139.0,139.0,0.0018456554
140.0,140.0,0.018690193
141.0,141.0,0.41570386
142.0,142.0,0.0785367
143.0,143.0,0.03038338
144.0,144.0,0.05174189
145.0,145.0,5.632724E-4
146.0,146.0,0.01968575
147.0,147.0,0.12061304
148.0,148.0,0.0018637346
149.0,149.0,0.0139942495
150.0,150.0,0.0148646245
151.0,151.0,9.057983E-4
152.0,152.0,0.25561333
153.0,153.0,0.0035981608
154.0,154.0,0.0028886942
155.0,155.0,0.011887583
156.0,156.0,0.06750874
157.0,157.0,1.2475013E-5
158.0,158.0,0.19244537
159.0,159.0,0.091411985
160.0,160.0,0.30449933
161.0,161.0,6.453759E-12
162.0,162.0,0.5191576
163.0,163.0,0.0029407516
164.0,164.0,0.0017800049
165.0,165.0,0.0025540134
166.0,166.0,2.6295803E-4
167.0,167.0,0.007659914
168.0,168.0,0.055902902
169.0,169.0,0.020070486
170.0,170.0,0.005801747
171.0,171.0,0.041318465
172.0,172.0,0.16848582
173.0,173.0,0.19698878
174.0,174.0,0.5346596
175.0,175.0,0.0882449
176.0,176.0,0.13367866
177.0,177.0,0.16853912
178.0,178.0,0.33981487
179.0,179.0,0.017806262
180.0,180.0,0.538116
181.0,181.0,0.050314464
182.0,182.0,5.482883E-10
183.0,183.0,0.5899541
184.0,184.0,0.0012951579
185.0,185.0,0.2926058
186.0,186.0,0.03232985
187.0,187.0,0.0049875816
188.0,188.0,0.61904436
189.0,189.0,0.31626314
190.0,190.0,0.098929785
191.0,191.0,0.0066627376
192.0,192.0,0.07423995
193.0,193.0,0.064993046
194.0,194.0,4.8402444E-4
195.0,195.0,0.16201471
196.0,196.0,0.07713443
197.0,197.0,0.44479465
198.0,198.0,0.0018849862
199.0,199.0,3.9878598E-4
200.0,200.0,0.33897465
201.0,201.0,0.014392037
202.0,202.0,0.023392197
203.0,203.0,3.5562177E-4
204.0,204.0,0.14692186
205.0,205.0,2.682241E-6
206.0,206.0,3.371806E-10
207.0,207.0,0.41362497
208.0,208.0,0.0035141741
209.0,209.0,0.036839597
210.0,210.0,0.035375785
211.0,211.0,2.9596395E-4
212.0,212.0,0.026241519
213.0,213.0,0.020889057
214.0,214.0,0.26336592
215.0,215.0,0.068693794
216.0,216.0,0.0017162928
217.0,217.0,0.006446364
218.0,218.0,0.045340408
219.0,219.0,0.31622213
220.0,220.0,0.3480411
221.0,221.0,0.019863982
222.0,222.0,0.43298188
223.0,223.0,1.8444056E-4
224.0,224.0,0.1574254
225.0,225.0,0.0034468397
226.0,226.0,0.0010772302
227.0,227.0,0.35779262
228.0,228.0,0.02154185
229.0,229.0,0.5708705
230.0,230.0,0.0019992471
231.0,231.0,0.019743832
232.0,232.0,0.016771238
233.0,233.0,0.00313357
234.0,234.0,0.07548117
235.0,235.0,8.934505E-5
236.0,236.0,8.4355194E-4
237.0,237.0,0.58101964
238.0,238.0,4.6335472E-7
239.0,239.0,0.07777213
240.0,240.0,0.0015641944
241.0,241.0,0.0034052788
242.0,242.0,0.64149386
243.0,243.0,0.0043875966
244.0,244.0,0.4475387
245.0,245.0,0.36040395
246.0,246.0,0.6430201
247.0,247.0,0.0153181115
248.0,248.0,0.0024366856
249.0,249.0,5.169897E-4
250.0,250.0,0.051622618
251.0,251.0,3.931796E-4
252.0,252.0,0.12968837
253.0,253.0,8.217756E-7
254.0,254.0,5.3267414E-4
255.0,255.0,4.7080717E-5
256.0,256.0,0.6635129
257.0,257.0,1.8152647E-5
258.0,258.0,0.0043553347
259.0,259.0,6.2105764E-4
260.0,260.0,0.5346742
261.0,261.0,1.4333715E-9
262.0,262.0,0.6383504
263.0,263.0,0.43428844
264.0,264.0,0.026360841
265.0,265.0,0.058950827
266.0,266.0,0.44151816
267.0,267.0,1.5099037E-4
268.0,268.0,0.0020169676
269.0,269.0,0.1845136
270.0,270.0,0.01123756
271.0,271.0,0.009364665
272.0,272.0,3.0446285E-4
273.0,273.0,0.017739855
274.0,274.0,0.016905386
275.0,275.0,0.45168698
276.0,276.0,0.05283564
277.0,277.0,0.004406763
278.0,278.0,0.048356354
279.0,279.0,5.430911E-4
280.0,280.0,7.3143326E-8
281.0,281.0,0.0032164706
282.0,282.0,0.00614944
283.0,283.0,0.0030359826
284.0,284.0,0.010167481
285.0,285.0,0.46055663
286.0,286.0,0.0015054123
287.0,287.0,7.5340955E-5
288.0,288.0,0.017903851
289.0,289.0,0.18019585
290.0,290.0,0.09723042
291.0,291.0,0.10924384
292.0,292.0,0.051781416
293.0,293.0,0.62124366
