x,y,species stddev
1.0,1.0,0.007081002
2.0,2.0,0.031373464
3.0,3.0,0.02221906
4.0,4.0,0.0012717181
5.0,5.0,0.02285717
6.0,6.0,4.762048E-5
7.0,7.0,8.3872594E-4
8.0,8.0,0.028345961
9.0,9.0,0.006388475
10.0,10.0,0.020252828
11.0,11.0,0.033050958
12.0,12.0,0.029689271
13.0,13.0,0.038403448
14.0,14.0,0.10404058
15.0,15.0,0.0056929886
16.0,16.0,0.003548652
17.0,17.0,0.0037430052
18.0,18.0,0.001195307
19.0,19.0,0.03892318
20.0,20.0,1.6668918E-4
21.0,21.0,0.012216152
22.0,22.0,9.3148235E-4
23.0,23.0,4.0749222E-4
24.0,24.0,0.025594898
25.0,25.0,0.0027686546
26.0,26.0,0.03341263
27.0,27.0,0.003804331
28.0,28.0,4.8580067E-4
29.0,29.0,3.0641278E-4
30.0,30.0,1.8180066E-4
31.0,31.0,0.0034698946
32.0,32.0,0.010240392
33.0,33.0,1.07597655E-8
34.0,34.0,0.022469917
35.0,35.0,0.03462586
36.0,36.0,2.7579116E-4
37.0,37.0,0.028315617
38.0,38.0,0.033316184
39.0,39.0,0.031338274
40.0,40.0,0.015819516
41.0,41.0,0.0099867415
42.0,42.0,0.009205448
43.0,43.0,0.026413973
44.0,44.0,4.377935E-4
45.0,45.0,0.037907317
46.0,46.0,0.0409587
47.0,47.0,0.02228533
48.0,48.0,0.018423852
49.0,49.0,0.014089892
50.0,50.0,4.9072044E-4
51.0,51.0,6.8693596E-4
52.0,52.0,3.3137298E-4
53.0,53.0,0.017175436
54.0,54.0,0.027296124
55.0,55.0,0.026375353
56.0,56.0,0.036379203
57.0,57.0,0.041518044
58.0,58.0,0.006867776
59.0,59.0,0.0041518896
60.0,60.0,0.022698041
61.0,61.0,0.025887316
62.0,62.0,0.025909375
63.0,63.0,0.04211801
64.0,64.0,0.012629343
65.0,65.0,0.0054668523
66.0,66.0,8.1529474E-4
67.0,67.0,0.024750069
68.0,68.0,5.3137966E-5
69.0,69.0,0.0085924035
70.0,70.0,0.04393366
71.0,71.0,0.015151911
72.0,72.0,0.02397526
73.0,73.0,0.009833923
74.0,74.0,1.4942531E-6
75.0,75.0,6.2550054E-5
76.0,76.0,0.029633788
77.0,77.0,0.02921551
78.0,78.0,0.046316665
79.0,79.0,6.101857E-4
80.0,80.0,0.033402283
81.0,81.0,0.02184895
82.0,82.0,0.0021503938
83.0,83.0,0.041369665
84.0,84.0,0.027657006
85.0,85.0,0.016080866
86.0,86.0,2.584849E-6
87.0,87.0,0.019686276
88.0,88.0,0.02209484
89.0,89.0,0.02979995
90.0,90.0,0.041440897
91.0,91.0,0.019371334
92.0,92.0,0.0027600143
93.0,93.0,1.25439E-4
94.0,94.0,0.0024084528
95.0,95.0,0.04655603
96.0,96.0,0.018852271
97.0,97.0,5.443673E-4
98.0,98.0,0.035739623
99.0,99.0,1.8365138E-4
100.0,100.0,2.862725E-4
101.0,101.0,1.3316805E-4
102.0,102.0,6.906124E-4
103.0,103.0,0.08286913
104.0,104.0,0.0060826945
105.0,105.0,3.5201006E-7
106.0,106.0,0.041989274
107.0,107.0,0.051088296
108.0,108.0,0.005228395
109.0,109.0,0.13455917
110.0,110.0,0.010288673
111.0,111.0,0.024392426
112.0,112.0,0.0014810588
113.0,113.0,5.9118867E-4
114.0,114.0,0.03772587
115.0,115.0,1.4638733E-4
116.0,116.0,0.029186657
117.0,117.0,0.0025255892
118.0,118.0,0.03743424
119.0,119.0,0.031369977
120.0,120.0,2.5834059E-5
121.0,121.0,0.029611781
122.0,122.0,4.9793603E-6
123.0,123.0,0.034013033
124.0,124.0,0.020322446
125.0,125.0,0.012536288
126.0,126.0,3.741198E-5
127.0,127.0,0.03260819
128.0,128.0,0.040494807
129.0,129.0,0.0050338083
130.0,130.0,0.019166647
131.0,131.0,0.03815722
132.0,132.0,0.047466516
133.0,133.0,0.015741216
134.0,134.0,0.02828543
135.0,135.0,0.0063431147
136.0,136.0,0.0055017197
137.0,137.0,0.0014032609
138.0,138.0,2.3700482E-4
139.0,139.0,0.0010683186
140.0,140.0,0.005336851
